n_agents,majority_quota,seed,iterations,coalition_size,coalition_fraction,yes_votes,yes_fraction,runtime,version
3.0,0.5,42.0,1.0,2.0,0.6666666666666666,3.0,1.0,13.563865000003716,before
3.0,0.5,123.0,1.0,2.0,0.6666666666666666,3.0,1.0,1.1419249579921598,before
3.0,0.5,777.0,1.0,2.0,0.6666666666666666,3.0,1.0,1.0457353329984471,before
3.0,0.67,42.0,2.0,3.0,1.0,3.0,1.0,1.6175772910064552,before
3.0,0.67,123.0,2.0,3.0,1.0,3.0,1.0,1.5657302920008078,before
3.0,0.67,777.0,2.0,3.0,1.0,3.0,1.0,1.7369810000091093,before
3.0,1.0,42.0,2.0,3.0,1.0,3.0,1.0,1.6831616250128718,before
3.0,1.0,123.0,2.0,3.0,1.0,3.0,1.0,1.5849006250064122,before
3.0,1.0,777.0,2.0,3.0,1.0,3.0,1.0,1.5591164579964245,before
5.0,0.5,42.0,2.0,3.0,0.6,5.0,1.0,1.516441624989966,before
5.0,0.5,123.0,5.0,3.0,0.6,5.0,1.0,3.2071755409997422,before
5.0,0.5,777.0,4.0,3.0,0.6,4.0,0.8,2.403389999992214,before
5.0,0.67,42.0,3.0,4.0,0.8,5.0,1.0,2.214188040990848,before
5.0,0.67,123.0,6.0,5.0,1.0,5.0,1.0,3.7464231250050943,before
5.0,0.67,777.0,5.0,5.0,1.0,5.0,1.0,3.2314238749968354,before
5.0,1.0,42.0,4.0,5.0,1.0,4.0,0.8,2.9253028749953955,before
5.0,1.0,123.0,6.0,5.0,1.0,5.0,1.0,4.344628124992596,before
5.0,1.0,777.0,5.0,5.0,1.0,5.0,1.0,3.184630083007505,before
7.0,0.5,42.0,5.0,5.0,0.7142857142857143,7.0,1.0,3.4618889580015093,before
7.0,0.5,123.0,3.0,4.0,0.5714285714285714,6.0,0.8571428571428571,2.6069737920042826,before
7.0,0.5,777.0,7.0,4.0,0.5714285714285714,7.0,1.0,4.258719999997993,before
7.0,0.67,42.0,5.0,5.0,0.7142857142857143,7.0,1.0,3.357592250002199,before
7.0,0.67,123.0,5.0,5.0,0.7142857142857143,7.0,1.0,3.179836208000779,before
7.0,0.67,777.0,8.0,7.0,1.0,7.0,1.0,5.581080749994726,before
7.0,1.0,42.0,6.0,7.0,1.0,7.0,1.0,4.102648665997549,before
7.0,1.0,123.0,6.0,7.0,1.0,7.0,1.0,5.014153041993268,before
7.0,1.0,777.0,8.0,7.0,1.0,7.0,1.0,4.942324125004234,before
10.0,0.5,42.0,9.0,5.0,0.5,10.0,1.0,5.471048082996276,before
